exchange_timestamp,mid_price,ask_price_1,ask_qty_1,bid_price_1,bid_qty_1,ask_price_2,ask_qty_2,bid_price_2,bid_qty_2,ask_price_3,ask_qty_3,bid_price_3,bid_qty_3,ask_price_4,ask_qty_4,bid_price_4,bid_qty_4,ask_price_5,ask_qty_5,bid_price_5,bid_qty_5,ask_price_6,ask_qty_6,bid_price_6,bid_qty_6,ask_price_7,ask_qty_7,bid_price_7,bid_qty_7,ask_price_8,ask_qty_8,bid_price_8,bid_qty_8,ask_price_9,ask_qty_9,bid_price_9,bid_qty_9,ask_price_10,ask_qty_10,bid_price_10,bid_qty_10
1784626296159000000,0.07352500000000001,0.07353,795805,0.07352,803362,0.07354,440551,0.07351,987160,0.07355,1165480,0.0735,1933068,0.07356,974408,0.07349,1642153,0.07357,972038,0.07348,2403961,0.07358,1003072,0.07347,1839138,0.07359,701784,0.07346,1614411,0.0736,2732149,0.07345,1419933,0.07361,902422,0.07344,1150103,0.07362,401322,0.07343,1221549
1784626296315000000,0.07352500000000001,0.07353,795805,0.07352,803362,0.07354,440551,0.07351,987160,0.07355,1165480,0.0735,1933068,0.07356,972709,0.07349,1642153,0.07357,972038,0.07348,2403961,0.07358,1003072,0.07347,1839138,0.07359,703482,0.07346,1614411,0.0736,2732149,0.07345,1419933,0.07361,902422,0.07344,1150103,0.07362,401322,0.07343,1221549
1784626296429000000,0.07352500000000001,0.07353,795956,0.07352,803431,0.07354,440620,0.07351,987160,0.07355,1165480,0.0735,1933068,0.07356,990094,0.07349,1642153,0.07357,972038,0.07348,2403961,0.07358,1019808,0.07347,1839138,0.07359,703482,0.07346,1614411,0.0736,2732149,0.07345,1368450,0.07361,902422,0.07344,1133732,0.07362,401322,0.07343,1221549
1784626296667000000,0.07352500000000001,0.07353,795956,0.07352,803412,0.07354,436298,0.07351,987160,0.07355,1165480,0.0735,1933068,0.07356,990094,0.07349,1642153,0.07357,972038,0.07348,2403961,0.07358,1019808,0.07347,1839138,0.07359,703482,0.07346,1614411,0.0736,2732149,0.07345,1368450,0.07361,902422,0.07344,1133732,0.07362,401322,0.07343,1221549
1784626296967000000,0.07352500000000001,0.07353,795882,0.07352,803412,0.07354,436298,0.07351,987160,0.07355,1165480,0.0735,1950909,0.07356,990094,0.07349,1661773,0.07357,972038,0.07348,2403961,0.07358,1019808,0.07347,1839138,0.07359,703482,0.07346,1614411,0.0736,2732149,0.07345,1368450,0.07361,902422,0.07344,1133732,0.07362,401322,0.07343,1221549
1784626297274000000,0.07352500000000001,0.07353,795882,0.07352,808725,0.07354,436298,0.07351,981826,0.07355,1165480,0.0735,1950909,0.07356,990094,0.07349,1661773,0.07357,972038,0.07348,2403961,0.07358,1019808,0.07347,1839138,0.07359,703482,0.07346,1614411,0.0736,2732149,0.07345,1368547,0.07361,902422,0.07344,1133732,0.07362,401322,0.07343,1221549
1784626297438000000,0.07352500000000001,0.07353,795882,0.07352,808725,0.07354,436298,0.07351,981826,0.07355,1165480,0.0735,1950909,0.07356,990094,0.07349,1661773,0.07357,972107,0.07348,2403961,0.07358,1122015,0.07347,1839138,0.07359,703482,0.07346,1614411,0.0736,2732149,0.07345,1368547,0.07361,902422,0.07344,1133732,0.07362,401322,0.07343,1221549
1784626297559000000,0.07352500000000001,0.07353,798111,0.07352,809287,0.07354,436298,0.07351,981826,0.07355,1165480,0.0735,1950909,0.07356,990094,0.07349,1661773,0.07357,972107,0.07348,2403961,0.07358,1122015,0.07347,1839138,0.07359,703482,0.07346,1614411,0.0736,2732149,0.07345,1368547,0.07361,902422,0.07344,1133732,0.07362,401322,0.07343,1221549
1784626297719000000,0.07352500000000001,0.07353,798111,0.07352,658810,0.07354,436298,0.07351,1090815,0.07355,1165480,0.0735,1950909,0.07356,990094,0.07349,1661773,0.07357,972107,0.07348,2403961,0.07358,1122015,0.07347,1839138,0.07359,703482,0.07346,1614411,0.0736,2732149,0.07345,1368547,0.07361,902422,0.07344,1133732,0.07362,401322,0.07343,1221549
1784626297965000000,0.07352500000000001,0.07353,798111,0.07352,659012,0.07354,436298,0.07351,1090815,0.07355,1202273,0.0735,1950909,0.07356,990094,0.07349,1661773,0.07357,972107,0.07348,2403961,0.07358,1122015,0.07347,1839138,0.07359,703482,0.07346,1614411,0.0736,2732149,0.07345,1368547,0.07361,902491,0.07344,1133732,0.07362,401322,0.07343,1221549
1784626298202000000,0.07352500000000001,0.07353,798110,0.07352,659012,0.07354,436298,0.07351,1090815,0.07355,1202273,0.0735,1950909,0.07356,990094,0.07349,1661773,0.07357,972107,0.07348,2403961,0.07358,1122015,0.07347,1839138,0.07359,703482,0.07346,1614411,0.0736,2732149,0.07345,1368644,0.07361,902491,0.07344,1133732,0.07362,401322,0.07343,1221549
1784626298299000000,0.07352500000000001,0.07353,798110,0.07352,659012,0.07354,436298,0.07351,1090815,0.07355,1202273,0.0735,1950909,0.07356,998245,0.07349,1669942,0.07357,955785,0.07348,2395800,0.07358,1130166,0.07347,1847288,0.07359,695321,0.07346,1606250,0.0736,2740300,0.07345,1376813,0.07361,902491,0.07344,1125571,0.07362,401322,0.07343,1221549
1784626298595000000,0.07352500000000001,0.07353,798110,0.07352,659017,0.07354,436298,0.07351,1090815,0.07355,1202273,0.0735,1950909,0.07356,998245,0.07349,1669942,0.07357,955785,0.07348,2395800,0.07358,1130166,0.07347,1847288,0.07359,695321,0.07346,1606250,0.0736,2740300,0.07345,1376813,0.07361,902491,0.07344,1125571,0.07362,401322,0.07343,1221549
1784626298805000000,0.07352500000000001,0.07353,798110,0.07352,659017,0.07354,436298,0.07351,1090815,0.07355,1202273,0.0735,1950909,0.07356,998245,0.07349,1669942,0.07357,952244,0.07348,2395800,0.07358,1130166,0.07347,1847288,0.07359,695321,0.07346,1606250,0.0736,2740300,0.07345,1376813,0.07361,902491,0.07344,1125571,0.07362,401322,0.07343,1221549
1784626299062000000,0.07352500000000001,0.07353,798041,0.07352,658948,0.07354,436298,0.07351,1075352,0.07355,1202273,0.0735,1950909,0.07356,998245,0.07349,1669942,0.07357,952244,0.07348,2395800,0.07358,1130166,0.07347,1847288,0.07359,693623,0.07346,1606250,0.0736,2740300,0.07345,1376813,0.07361,902491,0.07344,1125571,0.07362,401322,0.07343,1221549
1784626299110000000,0.07352500000000001,0.07353,798041,0.07352,677010,0.07354,436298,0.07351,1075352,0.07355,1203972,0.0735,1950909,0.07356,998245,0.07349,1669942,0.07357,952244,0.07348,2395800,0.07358,1130166,0.07347,1847288,0.07359,693623,0.07346,1606250,0.0736,2740300,0.07345,1376813,0.07361,902491,0.07344,1125571,0.07362,401322,0.07343,1221549
1784626299269000000,0.07352500000000001,0.07353,798041,0.07352,677001,0.07354,436298,0.07351,1075352,0.07355,1210912,0.0735,1950909,0.07356,978527,0.07349,1669942,0.07357,968555,0.07348,2395800,0.07358,1130166,0.07347,1847288,0.07359,693623,0.07346,1606250,0.0736,2740300,0.07345,1376813,0.07361,902491,0.07344,1125571,0.07362,401322,0.07343,1221549
1784626299557000000,0.07352500000000001,0.07353,796436,0.07352,673607,0.07354,436298,0.07351,1075164,0.07355,1210912,0.0735,1950909,0.07356,978527,0.07349,1669942,0.07357,968555,0.07348,2395800,0.07358,1130166,0.07347,1847288,0.07359,693623,0.07346,1606250,0.0736,2740300,0.07345,1376813,0.07361,902491,0.07344,1125571,0.07362,401322,0.07343,1222057
1784626299639000000,0.07352500000000001,0.07353,796436,0.07352,674314,0.07354,436298,0.07351,1074592,0.07355,1207513,0.0735,1950909,0.07356,981926,0.07349,1669942,0.07357,968555,0.07348,2395800,0.07358,1130166,0.07347,1847288,0.07359,693623,0.07346,1606250,0.0736,2740300,0.07345,1376813,0.07361,902491,0.07344,1125571,0.07362,401322,0.07343,1222057
1784626300278000000,0.07352500000000001,0.07353,590143,0.07352,675303,0.07354,436298,0.07351,1074592,0.07355,1207513,0.0735,1950909,0.07356,981926,0.07349,1669942,0.07357,968555,0.07348,2395800,0.07358,1130166,0.07347,1847288,0.07359,693623,0.07346,1606250,0.0736,2740300,0.07345,1376813,0.07361,902491,0.07344,1125571,0.07362,401322,0.07343,1222057
1784626300391000000,0.07352500000000001,0.07353,590212,0.07352,675372,0.07354,436298,0.07351,1074592,0.07355,1207513,0.0735,1950909,0.07356,981926,0.07349,1669942,0.07357,968555,0.07348,2395800,0.07358,1130166,0.07347,1847288,0.07359,693623,0.07346,1606250,0.0736,2740300,0.07345,1376813,0.07361,902491,0.07344,1125571,0.07362,401322,0.07343,1222057
1784626300562000000,0.07352500000000001,0.07353,575727,0.07352,788638,0.07354,436298,0.07351,1074592,0.07355,1207513,0.0735,1950909,0.07356,981926,0.07349,1669942,0.07357,968555,0.07348,2395800,0.07358,1130166,0.07347,1847288,0.07359,693623,0.07346,1606250,0.0736,2740300,0.07345,1376813,0.07361,902491,0.07344,1125571,0.07362,401322,0.07343,1222057
1784626300669000000,0.07352500000000001,0.07353,575647,0.07352,788638,0.07354,436298,0.07351,1074592,0.07355,1207513,0.0735,1950909,0.07356,981926,0.07349,1669942,0.07357,968555,0.07348,2395800,0.07358,1130166,0.07347,1847288,0.07359,693623,0.07346,1626260,0.0736,2740300,0.07345,1376813,0.07361,902491,0.07344,1105571,0.07362,401322,0.07343,1222057
